dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows,seed
UNSW-NB15,0.65,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,6.69975600001635,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
UNSW-NB15,0.7,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,6.644402700010687,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
UNSW-NB15,0.75,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,6.688296500011347,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
UNSW-NB15,0.8,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,6.744981800031383,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
UNSW-NB15,0.9,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,7.008696200035047,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
TON_IoT,0.4,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,8.003801799961366,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
TON_IoT,0.5,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,7.914566699997522,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
TON_IoT,0.55,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,7.890400499978568,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
TON_IoT,0.6,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,8.057922100008,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
TON_IoT,0.65,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,7.849575599946547,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
TON_IoT,0.7,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,7.839934399991762,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
TON_IoT,0.75,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,7.77365219994681,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
TON_IoT,0.8,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,7.805003900022712,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
TON_IoT,0.9,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,7.792379500053357,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
OpTC,0.4,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.501539299963042,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
OpTC,0.5,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.584895799984224,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
OpTC,0.55,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.51974540000083,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
OpTC,0.6,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.541270399990026,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
OpTC,0.65,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.539533000031952,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
OpTC,0.7,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.773699799960013,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
OpTC,0.75,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.547596500022337,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
OpTC,0.8,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.573941799986642,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
OpTC,0.9,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.608384899969678,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
NSL-KDD,0.4,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.7662592999986373,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
NSL-KDD,0.5,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.7828216000343677,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
NSL-KDD,0.55,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.7734081000089645,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
NSL-KDD,0.6,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.7771578999818303,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
